,,,,,,,,
,순,고객명,전체수주가,2024년 수주가,2025년 수주가,입금 총액,미수금,비고
,1,지아이씨,1488279419,1051246143.3000001,437033275.6999999,828834550.3000001,659444868.7,"241209 잔금 세금계산서 발급건 \ 59,343,000 수금 대기"
,2,김포골드라인,0,0,0,0,0,
,3,서울교통공사,1900000,1900000,0,1900000,0,
,4,실리콘큐브,46840000,46840000,0,46840000,0,
,5,무한테크,11400000,11400000,0,0,11400000,
,6,다원시스,410000000,123000000,287000000,123000000,287000000,
,7,티랩,0,0,0,0,0,
,8,마루소프트,0,0,0,0,0,
,9,신진금고,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,소계,1958419419,1234386143.3000002,724033275.6999999,1000574550.3000001,,
