,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,순,국가,고객,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2024년),수주금액 (2025년),입금 총액,미수금,비고,대금지불조건,,,,,
,1,한국,지아이씨,CSP24-0409-1,,240409,240930,,"PAB, EID, PSR, ETND, EDD 생산",,423083700,423083700,,414622016,8461684,"1. 계약시 30% (126,925,110 KRW)
2. 제작 후 검사 전 30%
3. 검사 합격 후 납품 시 30%
4. 고객으로부터 물품대금 수령 후 잔금 10%","납품 후 계약조건 관계없이 정산 추진
241226 잔금 세금계산서 발급","241216 납품분 및  잔금 103,957,709 KRW
(EID 20, PSR 20, ETND 20, EDD 20 (잔금 10%),
PAB 잔금(60%))","241104 납품분 및  중도금 125,716,299 KRW
(품목 ???)","240925 2차 중도금 29,011,454 KRW
(PSR & EID 각 20EA)","240906 1차 중도금 29,011,454 KRW
(PSR & EID 각 20EA)","240411 선급금 126,925,100 KRW"
,2,한국,지아이씨,CSP24-0409-2,,240409,240412,1,"MOP 수리(17031, R1C001388)",1,270000,270000,,270000,0,,,계약 종료 / 24년 수주금액 입금 완료,240411 전자세금계산서,,,
,,,,,,,240412,2,"MOP 수리(19067, R1C001388)",1,900000,900000,,900000,0,,,,,,,
,,,,,,,240412,3,"MSR  HUB 수리(16006, R1B002192)",1,1386000,1386000,,1386000,0,,,,,,,
,,,,,,,240412,4,"MSR  HUB 수리(19002, R1B002192)",1,1386000,1386000,,1386000,0,,,,,,,
,3,한국,지아이씨,CSP24-0524-1,,240524,250227,,"MOP, MSR, CTM 생산",,350710750,105213225,245497524.99999997,105213225,245497525,"1. 계약시 30% (105,213,225 KRW)
2. 제작 후 검사 전 30%
3. 검사 합격 후 납품 시 30%
4. 고객으로부터 물품대금 수령 후 잔금 10%",납품 후 계약조건 관계없이 정산 추진,"240524 선급금 105,213,225 KRW 전자세금계산서",,,,
,4,한국,지아이씨,CSP24-0524-2,,240524,240726,1,PSR-HUB Board,82,35260000,35260000,,35260000,0,,,계약 종료 / 24년 수주금액 입금 완료,"241209 잔금 59,343,000 KRW 전자세금계산서","240524 선급금 138,467,000 KRW 전자세금계산서",,
,,,,,,,,2,PSR-VOIP Board,82,27060000,27060000,,27060000,0,,,,,,,
,,,,,,,,3,PSR-PA-AMP1 Board,82,27060000,27060000,,27060000,0,,,,,,,
,,,,,,,,4,PSR-PA-AMP2 Board,82,15580000,15580000,,15580000,0,,,,,,,
,,,,,,,,5,PSR-BPB,82,27060000,27060000,,27060000,0,,,,,,,
,,,,,,,,6,PAB-CONTROL Board,51,16830000,16830000,,16830000,0,,,,,,,
,,,,,,,,7,EID-CONTROL Board,41,22550000,22550000,,22550000,0,,,,,,,
,,,,,,,,8,EID-SENSOR Board,41,2050000,2050000,,2050000,0,,,,,,,
,,,,,,,,9,EDD-CONTROL Board,21,12180000,12180000,,12180000,0,,,,,,,
,,,,,,,,10,ETND-CONTROL Board,21,12180000,12180000,,12180000,0,,,,,,,
,5,한국,지아이씨,CSP24-0913-1,,240913,250131,1,MSR NVR,51,46610077,32627053.9,13983023.1,32627053.9,13983023.100000001,1. 계약 시 선금 70%,,24년 수주금액 입금 완료,240913 선금 70% 전자세금계산서,,,
,,,,,,,,2,MSR HUB,51,33882518,23717762.599999998,10164755.4,23717762.599999998,10164755.400000002,2. 제작하고 검사 후 잔금 30%,,,,,,
,,,,,,,,3,MSR MTX,51,31138841,21797188.7,9341652.299999999,21797188.7,9341652.3,,,,,,,
,,,,,,,,4,MSR TCIU HUB,51,26181518,18327062.599999998,7854455.399999999,18327062.599999998,7854455.400000002,,,,,,,
,,,,,,,,5,MSR TCIU CTL,51,31408809,21986166.299999997,9422642.7,21986166.299999997,9422642.700000003,,,,,,,
,,,,,,,,6,MSR PBX,51,14739000,10317300,4421700,10317300,4421700,,,,,,,
,,,,,,,,7,MSR SSD,102,34578000,24204600,10373400,24204600,10373400,,,,,,,
,,,,,,,,8,MSR ETX,51,24214341,16950038.7,7264302.3,16950038.7,7264302.300000001,,,,,,,
,,,,,,,,9,MSR Back Plane,51,15300000,10710000,4590000,10710000,4590000,,,,,,,
,,,,,,,,10,MOP CTL,51,24156125,16909287.5,7246837.5,16909287.5,7246837.5,,,,,,,
,,,,,,,,11,MOP LCD,51,21685863,15180104.1,6505758.899999999,15180104.1,6505758.9,,,,,,,
,,,,,,,,12,CTM CTL,51,47120077,32984053.9,14136023.1,32984053.9,14136023.100000001,,,,,,,
,6,한국,지아이씨,CSP24-0923-1,,240923,241231,1,MSR PWR BOARD. FOR MSR.,10,2917600,2917600,,0,2917600,,24년 12월 기준 납품 건에 대해서,,,,,
,,,,,,,241231,2,LCD CONTROL BOARD. FOR MOP.,10,8188800,0,8188800,0,8188800,,정산 추진,,,,,
,,,,,,,241231,3,MAIN CONTROL BOARD. FOR MOP.,20,18768200,18768200,,0,18768200,,,,,,,
,,,,,,,241231,4,POWER BOARD. FOR MOP.,10,1874500,1874500,,0,1874500,,,,,,,
,,,,,,,241231,5,POWER BOARD. FOR CTM.,10,2244800,2244800,,0,2244800,,,,,,,
,,,,,,,241231,6,MSR HUB BOARD. FOR MSR.,10,9368300,9368300,,9368300,0,,,24년 수주금액 입금 완료,241017 10개 전자세금계산서,,,
,,,,,,,241231,7,MSR MTX BOARD. FOR MSR.,10,10352200,10352200,,5176100,5176100,,,240925 5개 전자세금계산서,,,,
,,,,,,,250430,8,MSR NVR BOARD. FOR MSR.,10,32336800,,32336800,0,32336800,,,,,,,
,,,,,,,241231,9,MSR TCIU BOARD. FOR MSR.,10,20586000,20586000,,10293000,10293000,,,241017 2개 전자세금계산서,240925 3개 전자세금계산서,,,
,,,,,,,250430,10,PSR HUB BOARD FOR PSR.,10,9375000,9375000,,0,9375000,,,,,,,
,,,,,,,241231,11,CONTROL BOARD. FOR CTM.,20,45705600,,45705600,0,45705600,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Sub-Amount,,,,,,,,,1488279419,1051246143.3000001,437033275.6999999,992135259.3000001,496144159.7,,,,,,,
